epoch,loss,vb,mse,mask_mse,mask_dice,att_align,feat
0,4.147237147268702,0.0057508004495368786,0.11320866576212718,2.5367205533824984,0.2859033047664361,0.037625617576671426,0.0
1,3.56165783561644,0.00636135670736651,0.1135411597677644,2.272154673201139,0.22186485587573443,0.0376265996914418,0.0
2,2.981737518701397,0.007926020300504608,0.1058955074578035,1.7043754302087377,0.22072288535657475,0.037627914047143496,0.0
3,2.3515261122437776,0.006513277214432238,0.10020032349790706,1.080040289144047,0.22119963225282607,0.03763069787108507,0.0
4,2.1099682942765656,0.004427223759927581,0.0960093205172538,0.8437389798828813,0.22135304080658272,0.03762802932350362,0.0
5,2.0482500492549334,0.004634877777354006,0.09713383198708113,0.7777277710984964,0.22129098853615464,0.037625926943709614,0.0
6,2.01639344105955,0.005984958360663694,0.0927906042171001,0.7543554614801876,0.22130374327057697,0.03762447725920404,0.0
7,2.0082046278187486,0.0063163548080977265,0.0934910842583927,0.7431841247394436,0.2212433574873893,0.03762419297375151,0.0
8,1.9978262977521928,0.007275150187056393,0.09724182181220624,0.7294914166458317,0.22083830252045492,0.037626810231413996,0.0
9,1.981378417718606,0.006376540465197515,0.09460070267029595,0.7210342872338217,0.21998785792804154,0.03762641473077848,0.0
10,1.9807818877892416,0.007953319316602276,0.09562251467761568,0.7201798074558133,0.21965555570653228,0.03763194661282125,0.0
11,1.9757927871141276,0.004955392831160694,0.09923353775969294,0.7148916864981417,0.21919020636648429,0.037630020692700245,0.0
12,1.971008767847155,0.00747439902191173,0.09716043777889802,0.7128219657256955,0.2188575348160306,0.03763283776333098,0.0
13,1.9646823679814573,0.005571350892652666,0.09243669429580208,0.7140300597323745,0.21892346129065654,0.03763426461058562,0.0
14,1.962410614334169,0.006093679589685053,0.09202337131709562,0.7122286942161498,0.21866261910219661,0.03763557868536378,0.0
15,1.9598955007850147,0.005902860851105676,0.09156437300367005,0.7105093486973497,0.2187684981793654,0.03764124741075469,0.0
16,1.9537931717810084,0.0049527457712145884,0.09174445720893315,0.7028459650571229,0.21920575255253275,0.03763361940251999,0.0
17,1.956531165271509,0.0061101575570960374,0.09363041204289671,0.7020835036137065,0.21910179105938457,0.03763322023155748,0.0
18,1.9555268272024686,0.006745435594759746,0.09413992470916605,0.701288134348197,0.21904062237895902,0.037631786388696215,0.0
19,1.9542546815559512,0.006425077507429094,0.09418232502362339,0.7000082761537834,0.2188901136644551,0.0376327215403807,0.0
20,1.9461568095644965,0.004687591836627093,0.09010432564393907,0.6991563832173582,0.2188151326824407,0.0376371691033977,0.0
21,1.9458681755378597,0.0060367727942872585,0.08959524607072111,0.6991522285781923,0.2188220451601216,0.03762956630194285,0.0
22,1.9522831615854481,0.005487632968407659,0.09370971240759751,0.6996229567488687,0.21887538902095108,0.037627967956979744,0.0
23,1.9495662626672963,0.005903792235054783,0.09309326769463473,0.6996422780341789,0.21881501762593378,0.03762767756754746,0.0
24,1.9490025534004463,0.006722292900065172,0.09084145557059006,0.698740776835895,0.21876571671884568,0.03762752848265112,0.0
25,1.943863398716098,0.004801659040461599,0.08919503625222772,0.7000803530216217,0.21885777335675036,0.037626397334894195,0.0
26,1.9441219929788933,0.0033871774350282963,0.08973833708871216,0.6984849336694499,0.2188014420085266,0.037627110935625485,0.0
27,1.9422751543951817,0.006215154389828371,0.08851963643320515,0.696852760334484,0.218725798095836,0.037623404372544564,0.0
28,1.9495028411755797,0.005821886685258564,0.09262043940529349,0.69899542888657,0.21886821135145718,0.037625122137489864,0.0
29,1.941494297394987,0.00483852806865783,0.08698087369061273,0.697164107541569,0.21874410783658263,0.037623505840902446,0.0
30,1.9480845971185652,0.0044640500903533695,0.09380776747950491,0.6974582823573566,0.21875360591001197,0.03762186305200468,0.0
31,1.9448871510927794,0.006794622443065564,0.09028931182167936,0.6967225196908732,0.21869310333591993,0.03762072864614549,0.0
32,1.9420367348389547,0.005441322541488172,0.08848888287282564,0.6972949171652559,0.21872134582429636,0.0376199266766427,0.0
33,1.9411497649599294,0.006446163147680994,0.08726522920836435,0.6964002774387109,0.21866340226814396,0.037620902702700895,0.0
34,1.943681848830864,0.0057510116094981936,0.09050428061822399,0.6964409147129684,0.21868715054187618,0.03761994773369343,0.0
